Mes;Dia;Valor#;Numero
1;1;1422.859#;1422.859
1;2;2147.027#;2147.027
1;3;2918.076#;2918.076
1;4;3682.693#;3682.693
1;5;4497.322#;4497.322
1;6;5305.102#;5305.102
1;7;6346.688#;6346.688
1;8;7459.869#;7459.869
1;9;8542.07#;8542.07
1;10;9546.499#;9546.499
1;11;10628.957#;10628.957
1;12;11452.023#;11452.023
1;13;12231.12#;12231.12
1;14;13198.67#;13198.67
1;15;14131.764#;14131.764
1;16;15018.996#;15018.996
1;17;15887.875#;15887.875
1;18;16696.594#;16696.594
1;19;17477.96#;17477.96
1;20;18262.536#;18262.536
1;21;19301.896#;19301.896
1;22;20228.155#;20228.155
1;23;21208.009#;21208.009
1;24;22233.824#;22233.824
1;25;23163.18#;23163.18
1;26;23897.52#;23897.52
1;27;24630.554#;24630.554
1;28;25659.864#;25659.864
1;29;26675.141#;26675.141
1;30;27692.048#;27692.048
1;31;875.356#;875.356
2;1;1849.361#;1849.361
2;2;2649.629#;2649.629
2;3;3459.911#;3459.911
2;4;4592.385#;4592.385
2;5;5626.277#;5626.277
2;6;6579.955#;6579.955
2;7;7506.857#;7506.857
2;8;8474.879#;8474.879
2;9;9230.781#;9230.781
2;10;10004.999#;10004.999
2;11;10983.347#;10983.347
2;12;11877.486#;11877.486
2;13;12805.059#;12805.059
2;14;13763.33#;13763.33
2;15;14660.16#;14660.16
2;16;15426.334#;15426.334
2;17;16176.168#;16176.168
2;18;17149.356#;17149.356
2;19;18134.857#;18134.857
2;20;19116.402#;19116.402
2;21;20062.046#;20062.046
2;22;21000.249#;21000.249
2;23;21744.827#;21744.827
2;24;22467.53#;22467.53
2;25;23433.972#;23433.972
2;26;24393.043#;24393.043
2;27;25383.622#;25383.622
2;28;26320.278#;26320.278
2;29;817.295#;817.295
3;1;1594.025#;1594.025
3;2;2390.966#;2390.966
3;3;3390.325#;3390.325
3;4;4401.257#;4401.257
3;5;5222.29#;5222.29
3;6;6205.659#;6205.659
3;7;7120.524#;7120.524
3;8;7857.255#;7857.255
3;9;8623.386#;8623.386
3;10;9658.281#;9658.281
3;11;10690.939#;10690.939
3;12;11565.293#;11565.293
3;13;12494.994#;12494.994
3;14;13284.231#;13284.231
3;15;13969.24#;13969.24
3;16;14672.316#;14672.316
3;17;15495.806#;15495.806
3;18;16231.087#;16231.087
3;19;17052.183#;17052.183
3;20;17878.71#;17878.71
3;21;18700.206#;18700.206
3;22;19393.053#;19393.053
3;23;20108.768#;20108.768
3;24;20946.416#;20946.416
3;25;21940.746#;21940.746
3;26;22791.114#;22791.114
3;27;23478.216#;23478.216
3;28;24123.899#;24123.899
3;29;24792.323#;24792.323
3;30;0#;0
3;31;691.746#;691.746
4;1;1499.117#;1499.117
4;2;2306.236#;2306.236
4;3;3001.351#;3001.351
4;4;3704.552#;3704.552
4;5;4375.856#;4375.856
4;6;5043.539#;5043.539
4;7;5811.915#;5811.915
4;8;6652.757#;6652.757
4;9;7488.3#;7488.3
4;10;8186.987#;8186.987
4;11;8867.335#;8867.335
4;12;9596.913#;9596.913
4;13;10342.038#;10342.038
4;14;11232.647#;11232.647
4;15;12133.545#;12133.545
4;16;12970.294#;12970.294
4;17;13795.169#;13795.169
4;18;14577.283#;14577.283
4;19;15254.761#;15254.761
4;20;15931.346#;15931.346
4;21;16752.184#;16752.184
4;22;17651.093#;17651.093
4;23;18473.422#;18473.422
4;24;19316.487#;19316.487
4;25;20093.167#;20093.167
4;26;20736.446#;20736.446
4;27;21386.761#;21386.761
4;28;22195.52#;22195.52
4;29;0#;0
4;30;633.389#;633.389
